Line,From Fundamental Accounting Concept,Type of Relation (Arcrole),To IFRS XBRL Taxonomy Concept,Try Order
134,fac:OtherComprehensiveIncomeLossAttributableToNoncontrollingInterest,class-equivalentClass,us-gaap:OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,1
135,fac:OtherComprehensiveIncomeLossAttributableToParent,class-equivalentClass,us-gaap:OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,1
136,fac:OtherOperatingIncomeExpenses,class-equivalentClass,us-gaap:OtherOperatingIncome,1
137,fac:OtherThanFixedNoncurrentAssets,class-equivalentClass,us-gaap:AssetsNoncurrent,1
138,fac:OtherThanFixedNoncurrentAssets,class-equivalentClass,us-gaap:AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,2
139,fac:ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,class-equivalentClass,us-gaap:ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,1
140,fac:ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,class-equivalentClass,us-gaap:ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,1
141,fac:PreferredStockDividendsAndOtherAdjustments,class-equivalentClass,us-gaap:PreferredStockDividendsAndOtherAdjustments,1
142,fac:ProvisionForLoanLeaseAndOtherLosses,class-equivalentClass,us-gaap:ProvisionForLoanLeaseAndOtherLosses,1
143,fac:ProvisionForLoanLeaseAndOtherLosses,class-equivalentClass,us-gaap:ProvisionForLoanAndLeaseLosses,2
144,fac:ProvisionForLoanLeaseAndOtherLosses,class-equivalentClass,us-gaap:ProvisionForLoanLossesExpensed,3
145,fac:RedeemableNoncontrollingInterest,class-equivalentClass,us-gaap:RedeemableNoncontrollingInterestEquityCarryingAmount,1
146,fac:RedeemableNoncontrollingInterest,class-equivalentClass,us-gaap:RedeemableNoncontrollingInterestEquityFairValue,2
147,fac:RedeemableNoncontrollingInterest,class-equivalentClass,us-gaap:RedeemableNoncontrollingInterestEquityOtherFairValue,3
148,fac:RedeemableNoncontrollingInterestCommon,class-equivalentClass,us-gaap:RedeemableNoncontrollingInterestEquityCommonCarryingAmount,1
149,fac:RedeemableNoncontrollingInterestOther,class-equivalentClass,us-gaap:RedeemableNoncontrollingInterestEquityOtherCarryingAmount,1
150,fac:RedeemableNoncontrollingInterestPreferred,class-equivalentClass,us-gaap:RedeemableNoncontrollingInterestEquityPreferredCarryingAmount,1
151,fac:Revenues,class-equivalentClass,us-gaap:Revenues,0
152,fac:Revenues,class-equivalentClass,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,1
153,fac:Revenues,class-equivalentClass,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,2
154,fac:Revenues,class-equivalentClass,us-gaap:SalesRevenueNet,3
155,fac:Revenues,class-equivalentClass,us-gaap:SalesRevenueServicesNet,4
156,fac:Revenues,class-equivalentClass,us-gaap:SalesRevenueGoodsNet,5
157,fac:Revenues,class-equivalentClass,us-gaap:RevenuesNetOfInterestExpense,6
158,fac:Revenues,class-equivalentClass,us-gaap:RealEstateRevenueNet,7
159,fac:Revenues,class-equivalentClass,us-gaap:InterestAndDividendIncomeOperating,8
160,fac:Revenues,class-equivalentClass,us-gaap:RevenueMineralSales,9
161,fac:Revenues,class-equivalentClass,us-gaap:OilAndGasRevenue,10
162,fac:Revenues,class-equivalentClass,us-gaap:FinancialServicesRevenue,11
163,fac:Revenues,class-equivalentClass,us-gaap:RegulatedAndUnregulatedOperatingRevenue,12
164,fac:Revenues,class-equivalentClass,us-gaap:ShippingAndHandlingRevenue,13
165,fac:Revenues,class-equivalentClass,us-gaap:SalesRevenueFromEnergyCommoditiesAndServices,14
166,fac:Revenues,class-equivalentClass,us-gaap:UtilityRevenue,15
167,fac:Revenues,class-equivalentClass,us-gaap:PhaseInPlanAmountOfCapitalizedCostsRecovered,16
168,fac:Revenues,class-equivalentClass,us-gaap:SecondaryProcessingRevenue,17
169,fac:Revenues,class-equivalentClass,us-gaap:RevenueSteamProductsAndServices,18
170,fac:Revenues,class-equivalentClass,us-gaap:RevenueFromLeasedAndOwnedHotels,19
171,fac:Revenues,class-equivalentClass,us-gaap:FranchisorRevenue,20
172,fac:Revenues,class-equivalentClass,us-gaap:SubscriptionRevenue,21
173,fac:Revenues,class-equivalentClass,us-gaap:AdvertisingRevenue,22
174,fac:Revenues,class-equivalentClass,us-gaap:AdmissionsRevenue,23
175,fac:Revenues,class-equivalentClass,us-gaap:RevenueFromEnrollmentAndRegistrationFeesExcludingHospitalityEnterprises,24
176,fac:Revenues,class-equivalentClass,us-gaap:MembershipDuesRevenueOnGoing,25
177,fac:Revenues,class-equivalentClass,us-gaap:LicensesRevenue,26
178,fac:Revenues,class-equivalentClass,us-gaap:RoyaltyRevenue,27
179,fac:Revenues,class-equivalentClass,us-gaap:SalesOfOilAndGasProspects,28
180,fac:Revenues,class-equivalentClass,us-gaap:ClearingFeesRevenue,29
181,fac:Revenues,class-equivalentClass,us-gaap:ContractsRevenue,30
182,fac:Revenues,class-equivalentClass,us-gaap:RevenueFromGrants,31
183,fac:Revenues,class-equivalentClass,us-gaap:RevenueOtherManufacturedProducts,32
184,fac:Revenues,class-equivalentClass,us-gaap:ConstructionMaterialsRevenue,33
185,fac:Revenues,class-equivalentClass,us-gaap:TimberRevenue,34
186,fac:Revenues,class-equivalentClass,us-gaap:RecyclingRevenue,35
187,fac:Revenues,class-equivalentClass,us-gaap:PassengerRevenue,36
188,fac:Revenues,class-equivalentClass,us-gaap:SaleOfTrustAssetsToPayExpenses,37
189,fac:Revenues,class-equivalentClass,us-gaap:VehicleTollRevenue,39
190,fac:Revenues,class-equivalentClass,us-gaap:CargoAndFreightRevenue,40
191,fac:Revenues,class-equivalentClass,us-gaap:NetInvestmentIncome,41
192,fac:Revenues,class-equivalentClass,us-gaap:RevenuesExcludingInterestAndDividends,42
193,fac:Revenues,class-equivalentClass,us-gaap:InvestmentBankingRevenue,43
194,fac:Revenues,class-equivalentClass,us-gaap:UnderwritingIncomeLoss,44
195,fac:Revenues,class-equivalentClass,us-gaap:MarketDataRevenue,45
196,fac:Revenues,class-equivalentClass,us-gaap:ElectricUtilityRevenue,46
197,fac:Revenues,class-equivalentClass,us-gaap:ReimbursementRevenue,47
198,fac:Revenues,class-equivalentClass,us-gaap:LicenseAndServicesRevenue,48
199,fac:Revenues,class-equivalentClass,us-gaap:OilAndGasSalesRevenue,49
200,fac:Revenues,class-equivalentClass,us-gaap:RefiningAndMarketingRevenue,50
201,fac:Revenues,class-equivalentClass,us-gaap:GasDomesticRegulatedRevenue,51
202,fac:Revenues,class-equivalentClass,us-gaap:GoldProductsAndServicesRevenue,52
203,fac:Revenues,class-equivalentClass,us-gaap:NaturalGasProductionRevenue,53
204,fac:Revenues,class-equivalentClass,us-gaap:InvestmentAdvisoryManagementAndAdministrativeFees,56
205,fac:Revenues,class-equivalentClass,us-gaap:AssetManagementFees1,57
206,fac:Revenues,class-equivalentClass,us-gaap:RevenueOilAndGasServices,58
207,fac:Revenues,class-equivalentClass,us-gaap:ElectricalGenerationRevenue,59
208,fac:Revenues,class-equivalentClass,us-gaap:FoodAndBeverageRevenue,60
209,fac:Revenues,class-equivalentClass,us-gaap:RevenueFromPurchasedOilAndGas,61
210,fac:Revenues,class-equivalentClass,us-gaap:TechnologyServicesRevenue,62
211,fac:Revenues,class-equivalentClass,us-gaap:HomeBuildingRevenue,64
212,fac:Revenues,class-equivalentClass,us-gaap:RetailRevenue,65
213,fac:Revenues,class-equivalentClass,us-gaap:ElectricalTransmissionAndDistributionRevenue,66
214,fac:Revenues,class-equivalentClass,us-gaap:SalesRevenueEnergyServices,67
215,fac:Revenues,class-equivalentClass,us-gaap:OperatingLeasesIncomeStatementLeaseRevenue,68
216,fac:Revenues,class-equivalentClass,us-gaap:ElectricDomesticRegulatedRevenue,69
217,fac:Revenues,class-equivalentClass,us-gaap:OperatingLeasesIncomeStatementLeaseRevenue,70
218,fac:Revenues,class-equivalentClass,us-gaap:InterestAndFeeIncomeLoansConsumerInstallmentAutomobilesMarineAndOtherVehicles,71
219,fac:Revenues,class-equivalentClass,us-gaap:FeesAndCommissions,72
220,fac:Revenues,class-equivalentClass,us-gaap:LandSales,73
221,fac:Revenues,class-equivalentClass,us-gaap:GasGatheringTransportationMarketingAndProcessingRevenue,74
222,fac:Revenues,class-equivalentClass,us-gaap:RevenueFromRelatedParties,75
223,fac:Revenues,class-equivalentClass,us-gaap:HealthCareOrganizationRevenue,81
224,fac:Revenues,class-equivalentClass,us-gaap:HealthCareOrganizationRevenueNetOfPatientServiceRevenueProvisions,82
225,fac:Revenues,class-equivalentClass,us-gaap:HealthCareOrganizationPatientServiceRevenueLessProvisionForBadDebts,83
226,fac:Revenues,class-equivalentClass,us-gaap:HealthCareOrganizationPatientServiceRevenue,84
227,fac:Revenues,class-equivalentClass,us-gaap:OtherSalesRevenueNet,91
228,fac:Revenues,class-equivalentClass,us-gaap:InterestIncomeExpenseNet,92
229,fac:Revenues,class-equivalentClass,us-gaap:CoalProductsAndServicesRevenue,93
230,fac:Revenues,class-equivalentClass,us-gaap:SalesOfRealEstate,94
231,fac:Revenues,class-equivalentClass,us-gaap:FranchiseRevenue,95
232,fac:RevenuesExcludingInterestDividends,class-equivalentClass,us-gaap:RevenuesExcludingInterestAndDividends,1
233,fac:RevenuesExcludingInterestDividends,class-equivalentClass,us-gaap:BrokerageCommissionsRevenue,2
234,fac:RevenuesExcludingInterestDividends,class-equivalentClass,us-gaap:InvestmentBankingRevenue,3
235,fac:RevenuesNetInterestExpense,class-equivalentClass,us-gaap:RevenuesNetOfInterestExpense,1
236,fac:TemporaryEquity,class-equivalentClass,us-gaap:TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,1
237,fac:TemporaryEquity,class-equivalentClass,us-gaap:RedeemablePreferredStockCarryingAmount,3
238,fac:TemporaryEquity,class-equivalentClass,us-gaap:TemporaryEquityValueExcludingAdditionalPaidInCapital,5
239,fac:TemporaryEquityAttributableToParent,class-equivalentClass,us-gaap:TemporaryEquityCarryingAmountAttributableToParent,1
240,fac:TradingSymbol,class-equivalentClass,dei:TradingSymbol,1
241,fac:UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,class-equivalentClass,us-gaap:UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,1
242,fac:UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,class-equivalentClass,us-gaap:UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,1
